Battleground,Faction,Class,KB,D,HK,DD,HD,Win,Rol
Warsong gulch,Alliance,Monk,0,0,13,1407,65726,1,heal
Warsong gulch,Horde,Warrior,1,3,8,27640,1895,0,dps
Warsong gulch,Alliance,Warrior,4,3,12,64745,8430,1,dps
Warsong gulch,Alliance,Hunter,1,3,14,34593,5221,1,dps
Warsong gulch,Alliance,Rogue,1,2,12,16745,2911,1,dps
Warsong gulch,Horde,Mage,1,1,12,37040,5407,0,dps
Warsong gulch,Alliance,Warrior,6,0,13,19212,3305,1,dps
Warsong gulch,Horde,Monk,1,0,59,6063,146000,0,heal
Warsong gulch,Horde,Warlock,8,2,54,75901,47521,0,dps
Warsong gulch,Horde,Hunter,10,2,54,78845,10194,0,dps
Warsong gulch,Horde,Demon Hunter,12,2,49,60895,15742,0,dps
Warsong gulch,Alliance,Warrior,3,7,12,75773,20505,1,dps
Warsong gulch,Alliance,Rogue,1,0,15,12761,0,1,dps
Warsong gulch,Alliance,Demon Hunter,5,6,14,88087,12498,1,dps
Warsong gulch,Alliance,Paladin,1,10,9,104000,20599,1,dps
Warsong gulch,Alliance,Paladin,0,5,13,10888,74533,1,heal
Warsong gulch,Alliance,Rogue,0,11,11,63549,9418,1,dps
Warsong gulch,Alliance,Shaman,2,9,6,38201,6893,1,dps
Warsong gulch,Horde,Shaman,1,0,56,11054,121000,0,heal
Warsong gulch,Alliance,Mage,6,5,14,87887,14766,1,dps
Warsong gulch,Alliance,Druid,1,3,15,5682,92506,1,heal
Warsong gulch,Alliance,Rogue,0,5,10,31868,6608,1,dps
Warsong gulch,Horde,Rogue,2,2,46,29559,8989,0,dps
Warsong gulch,Horde,Priest,11,1,57,71710,21055,0,dps
Warsong gulch,Horde,Hunter,4,4,54,88291,5246,0,dps
Warsong gulch,Horde,Monk,4,3,46,60531,23938,0,dps
Warsong gulch,Horde,Warlock,9,3,48,123000,49540,0,dps
Warsong gulch,Horde,Hunter,9,1,54,68673,5739,1,dps
Warsong gulch,Horde,Demon Hunter,7,1,46,87551,12790,1,dps
Warsong gulch,Horde,Priest,10,1,54,85402,18659,1,dps
Warsong gulch,Horde,Shaman,0,3,39,13931,119000,1,heal
Warsong gulch,Alliance,Warlock,0,8,6,31645,15603,0,dps
Warsong gulch,Alliance,Shaman,1,4,10,34909,12436,0,dps
Warsong gulch,Horde,Warrior,7,1,51,56001,9835,1,dps
Warsong gulch,Horde,Mage,11,0,54,93717,11342,1,dps
Warsong gulch,Horde,Druid,4,1,45,30419,22437,1,dps
Warsong gulch,Alliance,Shaman,0,2,0,3698,3062,0,dps
Warsong gulch,Alliance,Priest,2,5,11,30150,120000,0,heal
Warsong gulch,Alliance,Death Knight,1,9,7,44809,18137,0,dps
Warsong gulch,Horde,Monk,0,0,44,4905,89605,1,heal
Warsong gulch,Alliance,Priest,0,7,5,14511,54760,0,heal
Warsong gulch,Alliance,Rogue,0,4,10,55325,9529,0,dps
Warsong gulch,Alliance,Hunter,1,7,6,35374,2135,0,dps
Warsong gulch,Horde,Paladin,4,2,39,59674,14379,1,dps
Warsong gulch,Alliance,Mage,6,5,12,50020,17422,0,dps
Warsong gulch,Horde,Rogue,6,3,43,70482,7562,1,dps
Warsong gulch,Alliance,Priest,0,2,6,3303,52540,0,heal
Warsong gulch,Alliance,Paladin,0,4,12,14952,6364,0,dps
Warsong gulch,Alliance,Shaman,0,3,18,3565,5069,0,heal
Warsong gulch,Alliance,Druid,1,2,18,9863,76747,0,heal
Warsong gulch,Horde,Warlock,5,4,24,62078,21283,1,dps
Warsong gulch,Horde,Shaman,1,1,26,7517,68328,1,heal
Warsong gulch,Alliance,Warrior,3,5,13,47698,4576,0,dps
Warsong gulch,Horde,Hunter,6,1,26,55058,9665,1,dps
Warsong gulch,Horde,Demon Hunter,2,0,12,12427,10330,1,dps
Warsong gulch,Alliance,Mage,2,3,16,51887,10090,0,dps
Warsong gulch,Horde,Priest,0,0,13,3095,46782,1,heal
Warsong gulch,Alliance,Hunter,0,1,6,26121,0,0,dps
Warsong gulch,Horde,Warrior,4,1,23,30117,1747,1,dps
Warsong gulch,Alliance,Priest,4,0,16,79295,17671,0,dps
Warsong gulch,Horde,Shaman,1,4,25,26991,6369,1,dps
Warsong gulch,Horde,Priest,3,3,26,66074,16938,1,dps
Warsong gulch,Horde,Rogue,2,2,15,35002,2655,1,dps
Warsong gulch,Alliance,Warlock,7,4,17,76383,30058,0,dps
Warsong gulch,Horde,Warlock,2,2,26,69414,32434,1,dps
Warsong gulch,Alliance,Priest,0,2,14,5967,33584,0,heal
Warsong gulch,Horde,Demon Hunter,1,2,11,36661,24957,1,dps
Warsong gulch,Alliance,Warrior,4,2,14,51033,5913,0,dps
Warsong gulch,Alliance,Druid,0,6,4,41339,2763,0,dps
Warsong gulch,Horde,Priest,0,0,10,5543,44516,1,heal
Warsong gulch,Horde,Druid,3,0,18,46056,10488,1,dps
Warsong gulch,Alliance,Mage,0,3,12,29346,5065,0,dps
Warsong gulch,Alliance,Warlock,3,2,11,110000,19493,0,dps
Warsong gulch,Horde,Death Knight,1,5,17,44465,20298,1,dps
Warsong gulch,Horde,Shaman,2,2,20,14838,81762,1,heal
Warsong gulch,Alliance,Monk,0,0,12,13460,79489,0,heal
Warsong gulch,Horde,Mage,7,2,20,74679,11349,1,dps
Warsong gulch,Horde,Druid,0,1,17,5272,69559,1,heal
Warsong gulch,Alliance,Mage,1,1,11,39616,11059,0,dps
Warsong gulch,Alliance,Hunter,4,2,12,63412,4181,0,dps
Warsong gulch,Alliance,Paladin,1,3,8,47194,16757,0,dps
Warsong gulch,Horde,Druid,0,1,12,21719,24253,1,heal
Warsong gulch,Alliance,Priest,1,1,13,30487,50333,0,heal
Warsong gulch,Alliance,Warrior,1,3,4,16274,36748,0,dps
Warsong gulch,Horde,Death Knight,7,0,18,49866,45850,1,dps
Warsong gulch,Horde,Death Knight,1,1,15,44877,46855,1,dps
Warsong gulch,Horde,Priest,7,0,26,50293,3258,1,dps
Warsong gulch,Horde,Druid,0,0,15,22464,3277,1,dps
Warsong gulch,Alliance,Priest,0,1,4,6069,47212,0,heal
Warsong gulch,Horde,Warrior,4,1,25,18305,5869,1,dps
Warsong gulch,Alliance,Mage,0,5,2,19958,10411,0,dps
Warsong gulch,Horde,Paladin,2,0,26,30930,2752,1,dps
Warsong gulch,Horde,Death Knight,3,1,23,44733,9903,1,dps
Warsong gulch,Horde,Shaman,1,0,26,9903,46222,1,heal
Warsong gulch,Alliance,Mage,0,0,2,11558,2538,0,dps
Warsong gulch,Horde,Rogue,4,0,25,33904,1517,1,dps
Warsong gulch,Alliance,Death Knight,2,3,4,31903,8838,0,dps
Warsong gulch,Alliance,Warrior,0,3,2,10869,164,0,dps
Warsong gulch,Horde,Shaman,0,0,24,2586,13680,1,heal
Warsong gulch,Horde,Rogue,0,3,17,31081,8095,1,dps
Warsong gulch,Horde,Shaman,1,1,21,19440,165,1,dps
Warsong gulch,Alliance,Death Knight,2,2,4,23606,15150,0,dps
Warsong gulch,Alliance,Warrior,2,4,3,24925,5477,0,dps
Warsong gulch,Alliance,Monk,0,4,4,520,27241,0,heal
Warsong gulch,Alliance,Death Knight,4,3,29,104000,17438,1,dps
Warsong gulch,Alliance,Rogue,4,1,26,36320,9261,1,dps
Warsong gulch,Alliance,Priest,2,5,25,12103,68259,1,heal
Warsong gulch,Horde,Rogue,0,2,23,13909,9234,0,dps
Warsong gulch,Alliance,Priest,7,4,28,73185,22188,1,dps
Warsong gulch,Horde,Monk,6,3,27,68056,27223,0,dps
Warsong gulch,Horde,Shaman,1,4,23,10614,119000,0,heal
Warsong gulch,Alliance,Shaman,6,5,30,93721,12013,1,dps
Warsong gulch,Alliance,Mage,1,3,30,49899,10739,1,dps
Warsong gulch,Alliance,Death Knight,1,0,18,12952,7036,1,dps
Warsong gulch,Horde,Warrior,5,3,23,55932,17877,0,dps
Warsong gulch,Horde,Shaman,5,3,26,70027,5397,0,dps
Warsong gulch,Horde,Priest,0,3,26,272,79726,0,heal
Warsong gulch,Horde,Hunter,4,4,23,83092,9739,0,dps
Warsong gulch,Horde,Warrior,0,1,10,8670,161,0,dps
Warsong gulch,Horde,Warrior,1,0,10,12331,9887,0,dps
Warsong gulch,Horde,Shaman,0,2,10,0,34461,0,heal
Warsong gulch,Alliance,Death Knight,6,1,27,72057,15091,1,dps
Warsong gulch,Alliance,Warlock,2,3,29,44982,23095,1,dps
Warsong gulch,Alliance,Priest,0,2,28,3011,60718,1,heal
Warsong gulch,Horde,Hunter,0,9,7,12690,3914,0,dps
Warsong gulch,Horde,Hunter,1,6,9,24268,4855,0,dps
Warsong gulch,Alliance,Druid,0,0,45,4719,39014,1,heal
Warsong gulch,Alliance,Warlock,9,1,46,65209,24585,1,dps
Warsong gulch,Horde,Death Knight,0,5,9,32829,5580,0,dps
Warsong gulch,Alliance,Hunter,4,2,45,19330,2813,1,dps
Warsong gulch,Horde,Rogue,2,5,12,29343,3125,0,dps
Warsong gulch,Horde,Druid,0,2,7,2637,27010,0,heal
Warsong gulch,Horde,Shaman,0,8,10,4867,53987,0,heal
Warsong gulch,Alliance,Shaman,4,1,41,36457,17876,1,dps
Warsong gulch,Horde,Mage,1,5,11,25866,9945,0,dps
Warsong gulch,Horde,Warlock,1,9,8,29725,24875,0,dps
Warsong gulch,Alliance,Warlock,9,2,44,40436,14150,1,dps
Warsong gulch,Horde,Mage,3,4,12,23596,5084,0,dps
Warsong gulch,Alliance,Druid,0,1,25,839,20727,1,heal
Warsong gulch,Alliance,Monk,9,2,48,42353,39026,1,dps
Warsong gulch,Alliance,Rogue,2,0,39,26556,4351,1,dps
Warsong gulch,Alliance,Druid,15,3,48,82954,4568,1,dps
Warsong gulch,Alliance,Paladin,2,0,44,1385,30214,1,heal
Warsong gulch,Horde,Druid,5,3,10,40427,11455,0,dps
Warsong gulch,Alliance,Shaman,6,7,10,31303,3313,0,dps
Warsong gulch,Alliance,Priest,0,5,12,4802,15801,0,heal
Warsong gulch,Alliance,Rogue,1,5,10,11574,8768,0,dps
Warsong gulch,Horde,Mage,5,2,40,25577,3771,1,dps
Warsong gulch,Horde,Death Knight,10,2,46,30203,11833,1,dps
Warsong gulch,Horde,Warrior,6,2,37,28421,6228,1,dps
Warsong gulch,Horde,Mage,7,1,48,32630,7234,1,dps
Warsong gulch,Horde,Mage,8,1,47,37857,8706,1,dps
Warsong gulch,Horde,Shaman,1,2,46,3663,55865,1,heal
Warsong gulch,Alliance,Rogue,1,6,8,11267,2047,0,dps
Warsong gulch,Alliance,Paladin,0,3,12,16628,5412,0,dps
Warsong gulch,Horde,Druid,2,1,42,27636,8714,1,dps
Warsong gulch,Horde,Rogue,6,1,44,15198,1431,1,dps
Warsong gulch,Alliance,Warlock,3,8,13,14011,12435,0,dps
Warsong gulch,Alliance,Hunter,2,6,12,44476,7369,0,dps
Warsong gulch,Horde,Warrior,6,3,39,16179,6773,1,dps
Warsong gulch,Horde,Warlock,0,1,50,6225,5529,1,dps
Warsong gulch,Alliance,Priest,1,4,12,15404,2489,0,dps
Warsong gulch,Alliance,Druid,1,3,10,11126,7020,0,dps
Warsong gulch,Alliance,Rogue,0,2,2,3434,308,0,dps
Warsong gulch,Horde,Warlock,2,3,34,18854,8143,1,dps
Warsong gulch,Alliance,Paladin,1,5,7,32645,15990,0,dps
Warsong gulch,Alliance,Druid,0,1,11,2396,5822,0,heal
Warsong gulch,Horde,Demon Hunter,7,1,29,41082,3627,1,dps
Warsong gulch,Horde,Demon Hunter,4,1,36,50216,6136,1,dps
Warsong gulch,Horde,Hunter,7,1,36,27115,2705,1,dps
Warsong gulch,Alliance,Hunter,4,5,11,51078,8346,0,dps
Warsong gulch,Horde,Shaman,0,0,36,7887,87513,1,heal
Warsong gulch,Alliance,Mage,1,3,11,27926,5377,0,dps
Warsong gulch,Alliance,Paladin,0,3,9,3609,10401,0,heal
Warsong gulch,Horde,Hunter,3,3,34,52228,6371,1,dps
Warsong gulch,Horde,Monk,1,0,22,15311,12046,1,dps
Warsong gulch,Alliance,Warrior,0,7,10,55846,17201,0,dps
Warsong gulch,Horde,Priest,7,0,36,38715,78382,1,heal
Warsong gulch,Alliance,Druid,2,2,11,35735,15773,0,dps
Warsong gulch,Horde,Warrior,1,3,23,17630,1657,1,dps
Warsong gulch,Horde,Paladin,4,2,32,2004,16159,1,heal
Warsong gulch,Alliance,Monk,1,2,7,11591,5171,0,dps
Warsong gulch,Alliance,Demon Hunter,2,4,10,24451,1763,0,dps
Warsong gulch,Alliance,Warrior,3,5,11,34120,9819,0,dps
Warsong gulch,Alliance,Shaman,1,3,40,3053,44130,1,heal
Warsong gulch,Horde,Demon Hunter,9,5,33,49080,2493,0,dps
Warsong gulch,Horde,Warrior,7,5,26,33087,5365,0,dps
Warsong gulch,Alliance,Rogue,6,2,47,16415,3386,1,dps
Warsong gulch,Horde,Shaman,0,4,25,7472,48106,0,heal
Warsong gulch,Alliance,Druid,0,4,45,778,34434,1,heal
Warsong gulch,Alliance,Demon Hunter,4,3,45,32057,1696,1,dps
Warsong gulch,Horde,Warrior,4,7,32,31141,1842,0,dps
Warsong gulch,Alliance,Demon Hunter,3,4,38,37113,5305,1,dps
Warsong gulch,Horde,Mage,2,4,21,29112,7219,0,dps
Warsong gulch,Alliance,Monk,1,4,33,14806,54073,1,heal
Warsong gulch,Alliance,Druid,6,5,44,24422,7954,1,dps
Warsong gulch,Horde,Warrior,2,4,14,7757,6224,0,dps
Warsong gulch,Alliance,Hunter,12,3,50,31056,6336,1,dps
Warsong gulch,Alliance,Warlock,13,5,51,43470,16041,1,dps
Warsong gulch,Horde,Warrior,1,7,25,18769,1247,0,dps
Warsong gulch,Horde,Druid,6,7,28,35975,9485,0,dps
Warsong gulch,Horde,Monk,2,5,29,38337,9363,0,dps
Warsong gulch,Alliance,Death Knight,7,3,51,23094,5677,1,dps
Warsong gulch,Horde,Warrior,3,7,23,20776,9371,0,dps
Warsong gulch,Alliance,Demon Hunter,0,7,1,17372,3038,0,dps
Warsong gulch,Horde,Rogue,3,1,32,9029,397,1,dps
Warsong gulch,Horde,Druid,6,0,33,24448,4582,1,dps
Warsong gulch,Horde,Hunter,9,0,35,19884,3425,1,dps
Warsong gulch,Horde,Paladin,0,0,26,2599,1641,1,dps
Warsong gulch,Horde,Shaman,0,0,27,1954,15099,1,heal
Warsong gulch,Horde,Warrior,3,0,36,11996,1038,1,dps
Warsong gulch,Alliance,Demon Hunter,1,2,1,10741,1466,0,dps
Warsong gulch,Alliance,Priest,0,3,1,955,8527,0,heal
Warsong gulch,Alliance,Rogue,0,3,1,9862,211,0,dps
Warsong gulch,Horde,Warrior,6,0,36,18433,2831,1,dps
Warsong gulch,Horde,Druid,0,0,35,911,26698,1,heal
Warsong gulch,Alliance,Warrior,0,4,1,3043,2887,0,dps
Warsong gulch,Alliance,Hunter,0,5,1,7294,3281,0,dps
Warsong gulch,Horde,Paladin,4,0,36,14970,3268,1,dps
Warsong gulch,Alliance,Druid,0,2,0,0,10195,0,heal
Warsong gulch,Alliance,Warlock,0,4,0,16450,7277,0,dps
Warsong gulch,Horde,Monk,6,0,34,23189,6444,1,dps
Warsong gulch,Alliance,Rogue,0,5,1,6858,2459,0,dps
Warsong gulch,Alliance,Priest,10,4,58,40092,14538,1,dps
Warsong gulch,Alliance,Death Knight,12,6,53,31347,14346,1,dps
Warsong gulch,Alliance,Druid,9,2,62,70441,494,1,dps
Warsong gulch,Horde,Priest,2,4,22,17089,15538,0,dps
Warsong gulch,Alliance,Mage,4,1,61,35490,3726,1,dps
Warsong gulch,Horde,Demon Hunter,1,7,25,29034,1174,0,dps
Warsong gulch,Horde,Warrior,5,4,25,19992,3683,0,dps
Warsong gulch,Horde,Paladin,3,11,21,24742,11005,0,dps
Warsong gulch,Horde,Shaman,0,10,25,4955,43833,0,heal
Warsong gulch,Alliance,Hunter,2,5,57,31076,4839,1,dps
Warsong gulch,Alliance,Warrior,2,2,54,18823,5387,1,dps
Warsong gulch,Horde,Paladin,0,6,27,2618,57836,0,heal
Warsong gulch,Alliance,Paladin,13,3,57,37267,11643,1,dps
Warsong gulch,Alliance,Druid,3,3,56,17418,16583,1,dps
Warsong gulch,Horde,Monk,2,5,25,31043,16953,0,dps
Warsong gulch,Alliance,Priest,13,3,62,48575,19527,1,dps
Warsong gulch,Horde,Paladin,8,9,23,42133,9465,0,dps
Warsong gulch,Horde,Mage,2,4,24,25663,13130,0,dps
Warsong gulch,Horde,Paladin,7,9,23,32757,12189,0,dps
Warsong gulch,Alliance,Shaman,1,3,61,6332,54914,1,heal
Warsong gulch,Alliance,Warlock,3,2,23,30895,7157,1,dps
Warsong gulch,Horde,Mage,8,6,38,85175,23305,0,dps
Warsong gulch,Horde,Warrior,9,6,40,46851,8477,0,dps
Warsong gulch,Alliance,Hunter,2,5,46,38946,11987,1,dps
Warsong gulch,Alliance,Priest,15,4,49,123000,35145,1,dps
Warsong gulch,Alliance,Hunter,7,8,41,132000,25295,1,dps
Warsong gulch,Horde,Shaman,0,6,40,10874,150000,0,heal
Warsong gulch,Horde,Warlock,3,5,22,53580,38579,0,dps
Warsong gulch,Alliance,Demon Hunter,4,4,37,41529,9268,1,dps
Warsong gulch,Horde,Warlock,3,5,31,19953,17449,0,dps
Warsong gulch,Horde,Death Knight,2,6,41,42427,26412,0,dps
Warsong gulch,Alliance,Warlock,3,5,27,52437,35221,1,dps
Warsong gulch,Horde,Hunter,8,5,47,47375,13113,0,dps
Warsong gulch,Horde,Paladin,7,4,35,50943,27311,0,dps
Warsong gulch,Alliance,Druid,0,6,47,1244,81587,1,heal
Warsong gulch,Alliance,Druid,5,3,43,89434,8523,1,dps
Warsong gulch,Alliance,Hunter,7,3,47,63903,12224,1,dps
Warsong gulch,Horde,Warrior,5,8,39,59106,23215,0,dps
Warsong gulch,Horde,Paladin,6,6,42,78565,42581,0,dps
Warsong gulch,Alliance,Demon Hunter,11,11,48,109000,9050,1,dps
Battle for Gilneas,Alliance,Monk,0,2,17,1404,111000,0,heal
Battle for Gilneas,Horde,Shaman,2,4,17,23373,5920,1,dps
Battle for Gilneas,Alliance,Paladin,3,4,17,72205,35392,0,dps
Battle for Gilneas,Alliance,Demon Hunter,0,6,1,13751,1416,0,dps
Battle for Gilneas,Horde,Warlock,3,1,25,46804,16934,1,dps
Battle for Gilneas,Horde,Mage,4,1,16,39910,3120,1,dps
Battle for Gilneas,Horde,Warrior,5,1,27,62571,17566,1,dps
Battle for Gilneas,Alliance,Priest,1,3,19,7340,48071,0,heal
Battle for Gilneas,Alliance,Hunter,3,3,19,46793,11099,0,dps
Battle for Gilneas,Alliance,Shaman,0,3,24,14956,70297,0,heal
Battle for Gilneas,Horde,Shaman,0,8,19,3896,70444,1,heal
Battle for Gilneas,Horde,Warrior,4,0,30,38997,9283,1,dps
Battle for Gilneas,Alliance,Mage,1,6,11,20832,8656,0,dps
Battle for Gilneas,Horde,Warlock,4,2,27,79679,31249,1,dps
Battle for Gilneas,Alliance,Monk,2,2,21,34753,11306,0,dps
Battle for Gilneas,Alliance,Warrior,13,2,24,99446,16581,0,dps
Battle for Gilneas,Horde,Priest,1,3,18,16276,79725,1,heal
Battle for Gilneas,Horde,Hunter,6,2,24,57857,17782,1,dps
Battle for Gilneas,Horde,Warrior,0,3,16,16256,3467,1,dps
Battle for Gilneas,Alliance,Hunter,0,1,7,9475,1849,0,dps
Battle for Gilneas,Alliance,Paladin,1,4,11,12144,4054,0,dps
Battle for Gilneas,Alliance,Demon Hunter,0,7,9,12337,6720,0,dps
Battle for Gilneas,Alliance,Demon Hunter,3,6,13,36969,3986,0,dps
Battle for Gilneas,Alliance,Warrior,0,6,8,14450,3295,0,dps
Battle for Gilneas,Horde,Shaman,1,2,45,5337,55768,1,heal
Battle for Gilneas,Alliance,Druid,0,5,7,270,28254,0,heal
Battle for Gilneas,Alliance,Demon Hunter,1,0,4,8489,309,0,dps
Battle for Gilneas,Horde,Warlock,5,1,48,16152,8432,1,dps
Battle for Gilneas,Horde,Warlock,4,2,52,31053,12454,1,dps
Battle for Gilneas,Horde,Priest,0,2,46,1484,39236,1,heal
Battle for Gilneas,Horde,Mage,3,1,49,31740,3400,1,dps
Battle for Gilneas,Horde,Hunter,11,0,54,35220,887,1,dps
Battle for Gilneas,Horde,Shaman,6,1,24,13117,1164,1,dps
Battle for Gilneas,Alliance,Warrior,2,5,9,17113,1766,0,dps
Battle for Gilneas,Alliance,Paladin,3,6,9,31140,8288,0,dps
Battle for Gilneas,Alliance,Paladin,4,8,10,49434,18988,0,dps
Battle for Gilneas,Horde,Mage,12,1,56,54907,3873,1,dps
Battle for Gilneas,Horde,Death Knight,7,2,51,33027,17150,1,dps
Battle for Gilneas,Horde,Mage,6,2,51,38638,2456,1,dps
Battle for Gilneas,Alliance,Shaman,0,9,10,6983,41303,0,heal
Battle for Gilneas,Alliance,Monk,0,6,4,9076,8398,0,dps
Battle for Gilneas,Horde,Death Knight,5,0,22,25425,6302,1,dps
Battle for Gilneas,Horde,Hunter,4,1,29,30894,2304,1,dps
Battle for Gilneas,Horde,Druid,0,0,37,5414,70045,1,heal
Battle for Gilneas,Horde,Warlock,6,1,24,25013,16005,1,dps
Battle for Gilneas,Alliance,Demon Hunter,0,6,6,8472,1798,0,dps
Battle for Gilneas,Horde,Paladin,1,1,34,10538,24935,1,heal
Battle for Gilneas,Alliance,Monk,0,5,8,1556,44968,0,heal
Battle for Gilneas,Alliance,Druid,0,3,5,17832,2562,0,dps
Battle for Gilneas,Alliance,Shaman,0,0,3,7081,442,0,dps
Battle for Gilneas,Horde,Rogue,2,1,12,11182,1967,1,dps
Battle for Gilneas,Horde,Rogue,3,1,24,16420,8102,1,dps
Battle for Gilneas,Alliance,Demon Hunter,3,4,4,38595,6677,0,dps
Battle for Gilneas,Alliance,Warrior,1,1,5,6260,870,0,dps
Battle for Gilneas,Horde,Shaman,0,1,24,3903,21364,1,heal
Battle for Gilneas,Horde,Hunter,9,0,33,49713,5274,1,dps
Battle for Gilneas,Alliance,Priest,0,5,3,5137,29520,0,heal
Battle for Gilneas,Alliance,Warrior,1,5,4,12083,91,0,dps
Battle for Gilneas,Alliance,Mage,3,3,7,28483,5374,0,dps
Battle for Gilneas,Horde,Shaman,11,2,38,38895,6568,1,dps
Battle for Gilneas,Alliance,Shaman,0,2,19,5362,1982,1,dps
Battle for Gilneas,Alliance,Priest,9,0,37,68070,7779,1,dps
Battle for Gilneas,Alliance,Monk,7,1,37,33215,7643,1,dps
Battle for Gilneas,Alliance,Paladin,8,0,39,72723,22079,1,dps
Battle for Gilneas,Horde,Hunter,0,4,0,35874,5516,0,dps
Battle for Gilneas,Horde,Hunter,0,3,2,8092,4200,0,dps
Battle for Gilneas,Horde,Mage,3,2,5,16626,3718,0,dps
